Distance (Meters),Speed (m/s)
408.3973389,32.7777786
411.6750667,32.5
414.9250171,32.3611107
418.1610787,32.2777786
421.3888073,32.2222252
424.6112266,32.3055573
427.841733,32.3888893
431.0805726,32.4027786
434.320801,32.4166679
437.5624185,32.4722252
440.8098393,32.4166679
444.0514567,32.25
447.2764075,32.1944427
450.4958027,32.1388931
453.7096429,32.0833321
456.9181719,32.0972214
460.1278451,32.1111107
463.338907,32.3055573
466.5694134,32.5555573
469.8249195,32.8611145
473.1112316,33.2222214
476.433403,33.75
479.8083515,34.1388893
483.2221885,34.5000038
486.6721363,34.8611107
490.1584602,35.1666679
493.6750734,35.3055573
497.2055753,35.4722252
500.7527437,35.6111107
504.3138004,35.75
507.8890186,35.8333321
511.472297,35.8055611
515.0527985,35.9166679
518.6444106,36
522.2443557,36.1111107
525.8556872,36.25
529.4806319,36.5277786
533.133354,36.6944466
536.8027427,36.7777824
540.480465,36.8888893
544.1695791,37.0277786
547.8723004,37.0555573
551.5777996,37.1944504
555.2971878,37.4166679
559.0387976,37.6666679
562.8056944,37.9166679
566.5973034,38.25
570.4222451,38.5000038
574.2721868,38.75
578.1471277,38.9722252
582.0445881,39.1944466
585.9639731,39.5
589.9139128,39.6666679
593.8805192,39.8333359
597.863792,39.9722252
601.8612585,39.9444466
605.8556423,39.8333359
609.8389151,39.6666679
613.8055215,39.3333359
617.7387951,38.9444427
621.633477,38.6388893
625.4973071,38.2222214
629.3194709,37.9166679
633.11108,37.6388893
636.8749116,37.3611107
640.6112507,37.0833321
644.3195272,36.8055573
648.0000267,36.5277786
651.6527488,36.25
655.2776935,35.9722252
658.8751357,35.7222252
662.4473038,35.4444427
665.991694,35.1666679
669.5083072,34.8888893
672.9971431,34.6388893
676.4612434,34.3333359
679.8945246,34.0277786
683.2972505,33.75
686.672199,33.4444466
690.0165928,33.1666679
693.333462,32.9444466
696.6278565,32.75
699.9028065,32.6111107
703.1638677,32.5277786
706.416596,32.5
709.6667943,32.5416679
712.9209116,32.5833359
716.1791954,32.6944466
719.4485903,32.8333359
722.7318738,33.0277786
726.0348532,33.2222214
729.3570247,33.5555573
732.7125292,33.75
736.0874777,33.9444466
739.4818707,34.1111145
742.8931904,34.0138893
746.2945276,33.9166679
749.6861427,33.8888893
753.07498,33.7777786
756.4527064,33.6666679
759.8195787,33.75
763.1945272,33.9166679
766.5861423,34.1388893
769.9999793,34.5277786
773.4527045,34.9444466
776.9473624,35.25
780.4723087,35.6388931
784.0361436,35.9166679
787.6277557,36.1388931
791.2415898,36.3055573
794.8723672,36.5277786
798.5250893,36.6666641
802.1916998,36.8611107
805.8777545,37.0555573
809.5832536,37.2777786
813.3112591,37.5277824
817.0639801,37.8333359
820.847256,38.0277824
824.6499763,38.25
828.4749179,38.4166679
832.3168192,38.4444466
836.1612053,38.4166679
840.0028136,38.3333359
843.8360887,38.1111107
847.6471415,37.8888893
851.4362617,37.6944427
855.2056484,37.4722252
858.9528139,37.25
862.6777571,37.0833321
866.3860336,36.9166679
870.0779257,36.6666641
873.7445362,36.4166679
877.3861475,36.1111107
880.9972034,35.75
884.5721488,35.3888931
888.1112542,35
891.6112008,34.5555534
895.0667033,34.1666679
898.4835787,33.7222214
901.8554921,33.2777786
905.1834731,32.9444466
908.4776161,32.5833359
911.7361486,32.3055573
914.9669016,32.0833321
918.1749411,31.9166679
921.3668027,31.7777786
924.5442896,31.75
927.7194834,31.6944447
930.8891213,31.6388912
934.0527208,31.6111107
937.2140248,31.5555553
940.3692913,31.4722233
943.5167058,31.3888874
946.6557861,31.2777786
949.7832775,31.166666
952.9001344,31.0555592
956.0054059,30.916666
959.0972612,30.8611107
962.1835606,30.833334
965.2666118,30.8472233
968.3515225,30.8611107
971.437351,30.9999981
974.53754,31.1111107
977.6488409,31.2777786
980.7763324,31.5
983.9265247,31.7222233
987.0984566,32.0277786
990.30143,32.3333321
993.5349605,32.6944466
996.8041058,33.0555573
1000.109863,33.3888893
1003.448447,33.75
1006.823653,34.1111145
1010.234972,34.4444466
1013.679102,34.75
1017.154314,35.1111107
1020.665103,35.5
1024.21532,35.8055611
1027.796094,36.0833359
1031.404098,36.3333321
1035.037653,36.4444466
1038.681763,36.5000038
1042.331987,36.4722252
1045.979432,36.3333321
1049.612433,36.1388931
1053.226543,35.9444466
1056.820658,35.6944427
1060.39032,35.3888931
1063.929426,35.0277786
1067.431883,34.6388893
1070.895983,34.2500038
1074.32067,33.8055573
1077.701432,33.3888893
1081.040525,32.9444466
1084.334668,32.5
1087.584866,32.0833321
1090.792906,31.6944447
1093.962544,31.3055592
1097.093291,30.9444466
1100.187452,30.583334
1103.245972,30.3611145
1106.281806,30.1111126
1109.293101,30.0000019
1112.293284,30.0555573
1115.298565,30.166666
1118.315415,30.2222214
1121.337361,30.2777786
1124.365323,30.3055534
1127.396064,30.333334
1130.429119,30.3055534
1133.45986,30.166666
1136.47625,29.9722214
1139.473655,29.7222214
1142.446059,29.4444447
1145.390234,29.1666679
1148.307078,28.9166641
1151.19848,28.5555553
1154.05421,28.4166679
1156.89605,28.4444447
1159.740234,28.4722214
1162.58763,28.5
1165.437369,28.6666679
1168.304211,28.8055553
1171.184943,28.9166641
1174.076344,29.0277767
1176.979299,29.2222252
1179.901254,29.4166679
1182.8431,29.6388893
1185.80717,29.9444447
1188.801341,30.2500019
1191.826526,30.416666
1194.867914,30.6388893
1197.93199,30.7222233
1201.004399,30.708334
1204.074952,30.6944466
1207.144584,30.7222233
1210.216525,30.666666
1213.283379,30.7222233
1216.355789,30.8055553
1219.436062,30.9444466
1222.530696,31.083334
1225.638744,31.333334
1228.772269,31.4722233
1231.919684,31.5833359
1235.077728,31.6388912
1238.24181,31.7222233
1241.413742,31.75
1244.588936,31.8333321
1247.772463,31.9444447
1250.966616,32.0555573
1254.172367,32.2222252
1257.394294,32.5
1260.644493,32.6388893
1263.908581,32.7777786
1267.186059,32.8611145
1270.472371,32.7777786
1273.749848,32.6388893
1277.013937,32.4166679
1280.255801,32.0277786
1283.458286,31.5833359
1286.616812,31.2777786
1289.744304,30.8611107
1292.830603,30.583334
1295.889123,30.333334
1298.922179,30.083334
1301.930696,29.833334
1304.913756,29.6111088
1307.875048,29.3888893
1310.814116,29.1388893
1313.727738,28.8888893
1316.616804,28.6666679
1319.483208,28.4722214
1322.330604,28.2777786
1325.158554,28.1666679
1327.974963,28.0555553
1330.78069,28.0000019
1333.580434,27.9722233
1336.377827,28.0555553
1339.183554,28.1944447
1342.00274,28.3611126
1344.839025,28.583334
1347.697096,28.9444447
1350.591718,29.25
1353.516896,29.6111088
1356.477736,29.9722214
1359.475141,30.3055534
1362.505419,30.6388893
1365.569495,30.9722233
1368.666906,31.3055592
1371.797175,31.6666679
1374.964036,31.9722233
1378.160965,32.2222252
1381.383385,32.5833359
1384.641917,32.9166679
1387.933282,33.25
1391.258485,33.6666679
1394.624844,34.1111145
1398.036164,34.5277786
1401.489152,35.0277786
1404.991609,35.5
1408.541826,35.8611107
1412.127609,36.2777786
1415.755608,36.5000038
1419.405831,36.6388931
1423.069385,36.7222214
1426.741832,36.6388931
1430.405386,36.3333321
1434.038941,36.1111107
1437.650272,35.75
1441.224945,35.3611107
1444.761272,35.0833359
1448.269284,34.75
1451.744496,34.4444466
1455.189151,34.1666679
1458.605505,33.8888893
1461.994601,33.5555573
1465.349849,33.2222214
1468.672274,32.9444466
1471.96692,32.6111107
1475.227732,32.3333321
1478.461263,32.1944427
1481.680412,32.1666679
1484.897276,32.1111107
1488.108583,32.1250038
1491.320789,32.1388931
1494.534875,32.1111107
1497.745692,32.1388931
1500.959777,32.1111107
1504.171084,32.0833321
1507.379124,32.0555573
1510.584875,32.25
1513.80958,32.5833359
1517.068112,32.8888893
1520.357202,33.2777786
1523.684675,33.6944466
1527.054326,34
1530.454014,34.3611145
1533.890336,34.5833359
1537.34888,34.7222214
1540.820785,34.8055534
1544.301552,34.8888893
1547.790122,34.9444466
1551.28478,34.8888893
1554.773882,34.75
1558.248564,34.5555534
1561.70433,34.4166679
1565.145681,34.2222214
1568.568112,34.0555534
1571.973876,33.9166679
1575.365232,33.8055573
1578.745994,33.75
1582.120685,33.7777786
1585.498669,33.8055573
1588.879431,33.8194466
1592.261066,33.8333321
1595.644606,33.9166679
1599.035962,34.0833359
1602.444504,34.2222214
1605.866935,34.3333359
1609.299954,34.5000038
1612.750165,34.7222214
1616.222069,35.0277786
1619.725061,35.3055573
1623.255832,35.5833359
1626.81384,35.8888893
1630.402948,36.0833359
1634.010951,36.3055573
1637.641728,36.4166679
1641.283617,36.4722252
1644.930506,36.4166679
1648.572395,36.3611107
1652.208173,36.1666641
1655.82506,35.9444466
1659.419724,35.6388931
1662.983287,35.3055573
1666.514059,34.9722214
1670.010961,34.5833359
1673.469505,34.2222214
1676.891936,33.8611107
1680.277737,33.5
1683.627942,33.1111145
1686.93875,32.6944466
1690.208395,32.25
1693.433591,31.8055553
1696.613856,31.333334
1699.74738,30.833334
1702.830432,30.3055534
1705.861172,29.7777805
1708.839132,29.2222252
1711.761087,28.6666679
1714.627928,28.1666679
1717.444337,27.6944466
1720.213951,27.2222233
1722.936339,26.7777786
1725.613872,26.3888893
1728.252922,26.0277786
1730.855462,25.666666
1733.422285,25.5
1735.972441,25.4444447
1738.516652,25.5
1741.066808,25.6388912
1743.630462,26.0555573
1746.236177,26.3055573
1748.866893,26.5555553
1751.522206,26.8333321
1754.205703,27.1111107
1756.916565,27.3055573
1759.647288,27.6111107
1762.408568,27.9166679
1765.199979,28.2222214
1768.022373,28.6388874
1770.886,29.1666679
1773.802844,29.7222214
1776.775248,30.333334
1779.808304,30.9722233
1782.905715,31.5
1786.055427,32.1111107
1789.266734,32.6111107
1792.528044,33.0833321
1795.836074,33.5277786
1799.189057,33.9722214
1802.585968,34.3333359
1806.019511,34.6666679
1809.486389,35.0277786
1812.988847,35.3611107
1816.525174,35.6111107
1820.085959,35.8333321
1823.66951,36.0555573
1827.275286,36.25
1830.899954,36.4444466
1834.544622,36.6111145
1838.205398,36.8055573
1841.886178,36.9444466
1845.580849,37.0833321
1849.288842,37.1944504
1853.008514,37.2222214
1856.730396,37.1944504
1860.450068,37.1666679
1864.166961,37.1527786
1867.881899,37.1388893
1871.596015,37.0833321
1875.304008,37.0277786
1879.007012,36.8611107
1882.693348,36.6666641
1886.359679,36.4722252
1890.007124,36.1388931
1893.620683,35.6388931
1897.18479,35.25
1900.710005,34.8055534
1904.190242,34.3333359
1907.623785,33.9722214
1911.020696,33.6111107
1914.382012,33.25
1917.707215,32.9444466
1921.001358,32.6388893
1924.265446,32.3611107
1927.501261,32.1111107
1930.712568,31.8333321
1933.896096,31.5277786
1937.048585,31.2222233
1940.170998,30.8888912
1943.259604,30.5555553
1946.315346,30.1944466
1949.334975,29.8055573
1952.315258,29.4166679
1955.257104,29.0555573
1958.162394,28.7222233
1961.034792,28.4166679
1963.876632,28.1111126
1966.687486,27.8055553
1969.468211,27.5277767
1972.220737,27.3888893
1974.959793,27.1111107
1977.671069,26.7777786
1980.348602,26.4722233
1982.995986,26.1944447
1985.615191,25.833334
1988.198682,25.666666
1990.765505,25.5833321
1993.323604,25.5555573
1995.879316,25.5833321
1998.437415,25.833334
2001.020906,25.9444447
2003.615509,26.1111107
2006.226381,26.25
2008.851541,26.3055573
2011.481856,26.3194447
2014.113961,26.3333359
2016.747455,26.3055573
2019.37777,26.25
2022.00293,26.3333359
2024.636023,26.416666
2027.27785,26.4722233
2029.925234,26.5000019
2032.574992,26.4861126
2035.223765,26.4722233
2037.870745,26.3611107
2040.507017,26.2222233
2043.129399,26.0555573
2045.734716,25.8611107
2048.320985,25.7222233
2050.892972,25.6388912
2053.457018,25.5555573
2056.01273,25.4722252
2058.559719,25.4444447
2061.104319,25.5
2063.654085,25.7777786
2066.23202,26
2068.832179,26.2777767
2071.459716,26.6111126
2074.12099,26.8888893
2076.809633,27.2222233
2079.532021,27.5555573
2082.287745,27.8611126
2085.073601,28.1666679
2087.89044,28.4444466
2090.734624,28.7222233
2093.607022,28.9722233
2096.504421,29.1944447
2099.423598,29.3888893
2102.362667,29.6111088
2105.323506,29.8055573
2108.304244,30.0000019
2111.304427,30.2222214
2114.326373,30.416666
2117.368225,30.5555553
2120.423501,30.6388893
2123.487577,30.7222233
2126.559987,30.8055553
2129.64026,30.8611107
2132.726559,30.9722233
2135.823498,31.083334
2138.932021,31.25
2142.057212,31.4722233
2145.204146,31.6944447
2148.373784,31.9444447
2151.567936,32.2777786
2154.795911,32.5555573
2158.051666,32.8611145
2161.337477,33.1388893
2164.651568,33.2777786
2167.979041,33.3611107
2171.315356,33.4166679
2174.657226,33.375
2177.994421,33.3333321
2181.327957,33.25
2184.652653,33.0277786
2187.955633,32.8333359
2191.239167,32.6111107
2194.499979,32.3611107
2197.736288,32.0833321
2200.944327,31.7222233
2204.116743,31.3611107
2207.253046,30.9999981
2210.352762,30.6388893
2213.416838,30.3055534
2216.447115,29.9444447
2219.441743,29.583334
2222.400257,29.1944447
2225.319434,28.8333359
2228.202944,28.4166679
2231.04435,27.9444427
2233.838965,27.5555573
2236.594689,27.1944447
2239.313885,26.8333321
2241.997382,26.7222233
2244.669359,26.8888893
2247.358412,26.9444447
2250.053021,27.083334
2252.761107,27.2777786
2255.489051,27.3055573
2258.219357,27.25
2260.944523,27.1944466
2263.664134,27.1388893
2266.377774,26.9166679
2269.069605,26.9305553
2271.762414,26.9444447
2274.457023,27.0277786
2277.159966,27.1666679
2279.876384,27.333334
2282.609884,27.3888893
2285.348523,27.5
2288.09869,27.4722233
2290.84608,27.4166679
2293.587496,27.3055573
2296.318219,27.1666679
2299.034637,26.8055553
2301.715356,26.5555553
2304.371073,26.3055573
2307.001388,26.0555573
2309.607103,25.9444447
2312.20131,25.8055573
2314.782023,25.6944447
2317.351625,25.5833321
2319.909724,25.2777786
2322.437656,24.5277786
2324.890209,23.9444466
2327.2848,23.6111107
2329.646055,23.3888893
2331.98473,23.2222214
2334.307094,23.1111126
2336.617993,23.1388893
2338.932024,23.1944466
2341.25161,23.2500019
2343.576397,23.4166679
2345.918207,23.4722233
2348.265215,23.583334
2350.623692,23.6666679
2352.990503,23.7222233
2355.362508,23.833334
2357.745987,24.0555553
2360.151322,24.2777786
2362.579249,24.583334
2365.037732,24.9722214
2367.534726,25.3611126
2370.070992,25.6944447
2372.640201,26.083334
2375.248694,26.2777767
2377.876632,26.416666
2380.518056,26.5000019
2383.168218,26.4444447
2385.812421,26.2777767
2388.440359,26.083334
2391.048851,25.7777786
2393.626393,25.4444447
2396.170993,25.1944466
2398.690207,24.8611126
2401.17647,24.6388893
2403.640509,24.5277786
2406.093062,24.3888893
2408.5321,24.2500019
2410.956878,24.2222233
2413.379249,24.0277786
2415.782173,23.8055573
2418.162511,23.5555573
2420.51821,23.2777786
2422.845775,22.8611107
2425.132026,22.5833359
2427.390497,22.2777786
2429.618071,22.0277786
2431.820983,21.8611126
2434.006895,21.7777786
2436.184805,21.7222233
2438.35716,21.7777786
2440.534739,21.916666
2442.726539,21.9722233
2444.92356,22.0833321
2447.132028,22.1944447
2449.351608,22.3055573
2451.58196,22.4166679
2453.823763,22.5833359
2456.08189,22.7222233
2458.354251,23.0000019
2460.654392,23.3611107
2462.990289,23.75
2465.365434,24.1666679
2467.78188,24.6388893
2470.245919,25.1111126
2472.757183,25.6111126
2475.31806,26.1388893
2477.932109,26.666666
2480.598531,27.25
2483.323697,27.8055553
2486.104423,28.3611126
2488.940274,28.9166641
2491.832117,29.4444447
2494.776292,29.9444447
2497.770919,30.4444466
2500.81555,30.9444466
2503.909711,31.4444466
2507.054348,31.9166679
2510.245722,32.4444427
2513.490365,32.8611145
2516.776677,33.1666679
2520.09304,33.4722214
2523.440466,33.6944466
2526.809602,33.8055573
2530.190364,33.8888893
2533.57946,33.9444466
2536.973594,33.9166679
2540.365468,33.8333321
2543.748491,33.6666679
2547.115364,33.4722214
2550.46279,33.1666679
2553.779153,32.8055573
2557.059909,32.4722252
2560.306834,32.0277786
2563.509808,31.5833359
2566.668334,31.1388874
2569.781938,30.6388893
2572.846014,30.1944466
2575.865182,29.6666698
2578.83203,29.1944447
2581.751653,28.75
2584.626389,28.333334
2587.459896,27.9444427
2590.254084,27.6388893
2593.018142,27.2777786
2595.746086,26.9722214
2598.443061,26.6388893
2601.107113,26.3055573
2603.737428,25.9722233
2606.334809,25.5833321
2608.893298,25.2222233
2611.415289,24.833334
2613.898774,24.4722214
2616.345773,24.1111126
2618.757031,23.75
2621.132176,23.4166679
2623.473628,23.083334
2625.782103,22.8055553
2628.062449,22.5555573
2630.318143,22.3611107
2632.55439,22.1944447
2634.773632,22.0277786
2636.976544,21.8888912
2639.165233,21.75
2641.340365,21.6944447
2643.509942,21.666666
2645.676411,21.7083321
2647.847376,21.75
2650.022177,21.916666
2652.213977,22.1111107
2654.425223,22.4166679
2656.666685,22.7777767
2658.944602,23.0555553
2661.249946,23.3888893
2663.588978,23.6666679
2665.955789,23.8888893
2668.344459,24.1111126
2670.755718,24.3611126
2673.191606,24.5277786
2675.644533,24.8055553
2678.12524,25.1111126
2680.636122,25.4444447
2683.180722,25.833334
2685.763819,26.2777767
2688.391757,26.7222233
2691.064142,27.2222233
2693.786115,27.7222233
2696.558507,28.1666679
2699.374916,28.7222233
2702.247313,29.0833359
2705.155824,29.4444447
2708.1,29.7222214
2711.072403,29.833334
2714.055463,29.7500019
2717.030645,29.6666698
2719.997493,29.3888893
2722.936113,29.0555573
2725.841846,28.9166641
2728.733248,28.6388874
2731.597312,28.583334
2734.455819,28.6388874
2737.319446,28.7222233
2740.191844,28.8055553
2743.072135,29.0277767
2745.97509,29.1666679
2748.891935,29.2777767
2751.819444,29.3611126
2754.755735,29.4444447
2757.69991,29.4722214
2760.647312,29.5000019
2763.597492,29.5185204
2766.549074,29.5370369
2769.502958,29.5555573
2772.458243,29.583334
2775.416757,29.6944447
2778.386383,29.8888893
2781.374998,30.1111126
2784.386293,30.3888893
2787.424904,30.7777786
2790.502869,31.1111107
2793.61417,31.5
2796.763882,31.8611126
2799.950188,32.1388931
2803.163783,32.4444427
2806.408425,32.6666641
2809.675291,32.8333359
2812.958324,33
2816.258525,33.1666679
2819.574888,33.25
2822.900091,33.3888893
2826.239184,33.6111107
2829.599987,33.8055573
2832.980749,33.9722214
2836.377661,34.1944427
2839.797314,34.3333359
2843.230857,34.3888893
2846.669431,34.4444466
2850.114086,34.5000038
2853.56377,34.4444466
2857.008425,34.4722214
2860.455858,34.5000038
2863.905542,34.5277786
2867.358531,34.6944466
2870.827658,34.8888893
2874.31676,35.1388893
2877.830863,35.4722252
2881.377761,35.8611107
2884.964091,36.1944427
2888.583204,36.5833321
2892.24176,36.9444466
2895.936431,37.25
2899.661089,37.5833359
2903.419653,37.8888893
2907.208195,38.1666718
2911.025095,38.4444466
2914.869774,38.75
2918.744419,39.0277786
2922.647435,39.3055573
2926.577631,39.5555611
2930.533429,39.8333359
2934.517005,40.0833321
2938.524971,40.3611145
2942.561329,40.6111107
2946.622068,40.8611145
2950.708429,41.1111107
2954.819791,41.4166718
2958.961079,41.6944466
2963.130778,41.8611107
2967.316506,42.0555573
2971.522318,42.0416718
2975.726742,42.0277786
2979.929135,41.8888893
2984.11828,41.6388893
2988.281788,41.1388893
2992.395928,40.75
2996.471176,40.2777786
3000.498586,39.7777786
3004.476606,39.3888931
3008.415135,38.9444427
3012.309817,38.6111107
3016.171164,38.3611145
3020.006924,38.1388893
3023.821046,37.9444466
3027.615143,37.8333359
3031.398707,37.7500038
3035.173938,37.7222214
3038.945815,37.7361145
3042.719657,37.7500038
3046.494312,37.8611107
3050.280654,38.0277824
3054.083664,38.2777786
3057.911092,38.5833359
3061.769661,38.8611145
3065.655417,39.2222214
3069.577878,39.5277786
3073.530897,39.8055573
3077.511089,40.0833321
3081.519667,40.3611145
3085.555408,40.6111107
3089.616767,40.8333321
3093.70035,41.0555573
3097.805529,41.2500038
3101.930782,41.2777786
3106.058182,41.1805573
3110.176489,41.0833359
3114.285073,40.6944466
3118.354145,40.2222252
3122.376613,39.75
3126.35125,39.0277786
3130.254266,38.4166679
3134.096167,37.7777786
3137.873599,37.1111145
3141.584937,36.5277786
3145.23738,35.9166679
3148.829266,35.3888931
3152.368372,34.8888893
3155.856941,34.3888893
3159.29604,33.9722214
3162.692951,33.5833321
3166.051489,33.2222214
3169.373914,32.8888893
3172.662502,32.6111107
3175.923812,32.4166679
3179.165182,32.2222252
3182.387601,32.1666679
3185.604465,32.1944427
3188.823614,32.25
3192.048811,32.3333321
3195.281848,32.5555573
3198.537603,32.6666641
3201.804468,32.8611145
3205.090279,33
3208.390481,32.9444466
3211.684624,32.8888893
3214.973713,32.6388893
3218.237801,32.2777786
3221.465284,31.8333321
3224.648811,31.3888874
3227.787412,30.7222233
3230.859822,30.1388893
3233.873895,29.583334
3236.831958,28.9722233
3239.729357,28.3055553
3242.559653,27.583334
3245.318155,26.8611126
3248.00443,26.083334
3250.612525,25.25
3253.137679,24.4722214
3255.584677,23.6388893
3257.948711,22.8333359
3260.232184,22.0833321
3262.440315,21.3611126
3264.576556,20.6388893
3266.640256,19.9722233
3268.6376,19.3055553
3270.568274,18.6666679
3272.43477,18.0555553
3274.240435,17.4722233
3275.987498,16.9722233
3277.684824,16.4722233
3279.332147,16.0277786
3280.934778,15.6111116
3282.495984,15.1388893
3284.009734,14.6944447
3285.479269,14.25
3286.904356,13.8055553
3288.284785,13.3888893
3289.623755,13.1111116
3290.934747,12.8611116
3292.220936,12.75
3293.496014,12.8055563
3294.776452,12.9444456
3296.070976,12.9722223
3297.36808,13.1666679
3298.684827,13.2222223
3300.00713,13.1944447
3301.326453,13.166667
3302.6432,13.1388884
3303.956969,13.0277786
3305.259826,12.9444456
3306.55435,12.8611116
3307.840343,12.8055563
3309.120977,12.75
3310.395861,12.666667
3311.662605,12.6944456
3312.932127,12.75
3314.20701,12.8611116
3315.4932,13.0833349
3316.801413,13.3611116
3318.137606,13.6944447
3319.507134,14.083334
3320.915338,14.5555563
3322.370983,15.000001
3323.870846,15.5555553
3325.426496,16.0555553
3327.03215,16.583334
3328.690331,17.1666679
3330.407103,17.6944466
3332.176386,18.2500019
3334.001497,18.7777767
3335.879389,19.2500019
3337.804213,19.6944466
3339.773778,20.1388893
3341.787483,20.583334
3343.845942,20.8888912
3345.934959,21.1666679
3348.051432,21.3888893
3350.190451,21.5277786
3352.343032,21.5555553
3354.498719,21.5138893
3356.650239,21.4722233
3358.797265,21.333334
3360.930729,21.25
3363.055534,21.1666679
3365.17233,21.1111107
3367.28357,21.083334
3369.39171,21.0972233
3371.501562,21.1111107
3373.612479,21.2777786
3375.740387,21.416666
3377.882184,21.5277786
3380.034765,21.666666
3382.201564,21.8611126
3384.387475,22.0833321
3386.595943,22.2777786
3388.823857,22.5277767
3391.076428,22.7500019
3393.351567,22.9444447
3395.645802,23.1111126
3397.957054,23.3611107
3400.293308,23.6111107
3402.654203,23.8888893
3405.043238,24.2222233
3407.465238,24.6388893
3409.929278,25.0277786
3412.432208,25.4444447
3414.97642,25.8888912
3417.565467,26.2777767
3420.193004,26.5833359
3422.8515,26.9722214
3425.548887,27.4166679
3428.290302,27.8888893
3431.079362,28.3611126
3433.915213,28.8888893
3436.804279,29.3888893
3439.743347,29.9722214
3442.740295,30.5000019
3445.790481,30.833334
3448.873532,31.1388874
3451.987611,31.2777786
3455.11558,31.2361145
3458.238905,31.1944466
3461.35854,30.9999981
3464.458256,30.5000019
3467.508443,30.1388893
3470.522516,29.7222214
3473.494466,29.2777767
3476.422422,29
3479.322157,28.6666679
3482.188998,28.5
3485.039172,28.4444466
3487.883357,28.4722214
3490.730752,28.5
3493.580491,28.6666679
3496.447333,28.8333359
3499.330843,29
3502.230577,29.1944447
3505.1502,29.3611126
3508.086043,29.5555573
3511.041779,29.7222214
3514.014182,29.9444447
3517.008353,30.166666
3520.025203,30.3611145
3523.061037,30.5277786
3526.114001,30.6944466
3529.183633,30.8611107
3532.269462,31.0277786
3535.372429,31.2222233
3538.494366,31.3055592
3541.625113,31.5277786
3544.778083,31.8333321
3547.961125,32.1388931
3551.17521,32.5
3554.424913,32.9722252
